59, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
60, Train Instance Accuracy: 0.318182, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
61, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
62, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.156401, Best Instance Accuracy: 0.352657
63, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
64, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.042271, Best Instance Accuracy: 0.352657
65, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.027778, Best Instance Accuracy: 0.352657
66, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
67, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
68, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.014493, Best Instance Accuracy: 0.352657
69, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
70, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
71, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
72, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
73, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
74, Train Instance Accuracy: 0.314394, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
75, Train Instance Accuracy: 0.291667, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
76, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
77, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.042271, Best Instance Accuracy: 0.352657
78, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
79, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
80, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
81, Train Instance Accuracy: 0.318182, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
82, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
83, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
84, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
85, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.055556, Best Instance Accuracy: 0.352657
86, Train Instance Accuracy: 0.405303, Test Instance Accuracy: 0.097826, Best Instance Accuracy: 0.352657
87, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.027778, Best Instance Accuracy: 0.352657
88, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
89, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.027778, Best Instance Accuracy: 0.352657
90, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.042271, Best Instance Accuracy: 0.352657
91, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.014493, Best Instance Accuracy: 0.352657
92, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
93, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
94, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
